Code INSEE;Code Postal;Commune;Statut;Altitude Moyenne;Superficie;Population;lattitude;longitude
79023;79800;AVON;Commune simple;130;1261;0,1;46,3723048467;0,00235793629943
79347;79200;VIENNAY;Commune simple;153;1582;1,1;46,6959251659;-0,247961764946
79072;79300;LA CHAPELLE-GAUDIN;Commune simple;142;1709;0,2;46,9245849772;-0,3865329108
79167;79600;MARNES;Commune simple;83;1717;0,2;46,8531541226;-0,0177888678649
79003;79230;AIFFRES;Commune simple;32;2589;5,2;46,2820504466;-0,41429097467
79048;79260;LA CRECHE;Commune simple;72;3455;5,4;46,3656964606;-0,309032604795
79168;79150;MASSAIS;Commune simple;98;2130;0,6;47,0036730756;-0,358495301454
79295;79500;SAINT-ROMANS-LES-MELLE;Commune simple;103;883;0,7;46,2066461108;-0,196334503286
79158;79170;LUCHE-SUR-BRIOUX;Commune simple;79;514;0,1;46,1344762201;-0,15027346601
79201;79800;PAMPROUX;Commune simple;139;3607;1,7;46,4116775;-0,0432957775624
79009;79210;AMURE;Commune simple;17;1470;0,5;46,2569032806;-0,608681235963
79022;79600;AVAILLES-THOUARSAIS;Commune simple;99;1092;0,2;46,8552025032;-0,136835890651
79024;79400;AZAY-LE-BRULE;Commune simple;97;2217;1,8;46,4045197367;-0,267456920636
79191;79000;NIORT;Préfecture;33;6834;56,9;46,328260242;-0,465353019369
79116;79350;FAYE-L'ABBESSE;Commune simple;147;2333;1;46,8344255301;-0,343663613449
79217;79370;PRAILLES;Commune simple;144;1885;0,7;46,3204184079;-0,202251534086
79129;79370;FRESSINES;Commune simple;95;957;1,3;46,3248806803;-0,299910960177
79236;79380;SAINT-ANDRE-SUR-SEVRE;Commune simple;172;1980;0,7;46,7779589756;-0,699311994263
79161;79100;LUZAY;Commune simple;94;2095;0,6;46,9273390043;-0,2074214162
79106;79110;COUTURE-D'ARGENSON;Commune simple;107;2427;0,4;45,9956854391;-0,0844691973496
79243;79120;SAINT-COUTANT;Commune simple;143;1197;0,3;46,2229123339;0,00585913479042
79174;79500;MELLE;Chef-lieu canton;134;972;3,6;46,2309583731;-0,147888712984
79180;79190;MONTALEMBERT;Commune simple;152;1183;0,3;46,1021234288;0,170162348938
79027;79110;LA BATAILLE;Commune simple;117;630;0,1;46,0857477459;-0,109623150182
79216;79230;PRAHECQ;Chef-lieu canton;46;2496;2,1;46,268539716;-0,344623723709
79020;79400;AUGE;Commune simple;117;2333;0,9;46,4497619282;-0,288817537299
79267;79420;SAINT-LIN;Commune simple;191;1127;0,4;46,5326512584;-0,228519741295
79265;79100;SAINT-LEGER-DE-MONTBRUN;Commune simple;70;3059;1,2;46,989216133;-0,130757727063
79250;79330;SAINTE-GEMME;Commune simple;131;894;0,4;46,8997139729;-0,282960726169
79117;79160;FAYE-SUR-ARDIN;Commune simple;69;1499;0,6;46,4422797046;-0,50477624908
79290;79160;SAINT-POMPAIN;Commune simple;49;2421;0,9;46,4246945473;-0,602460764264
79165;79600;MAISONTIERS;Commune simple;150;1850;0,2;46,7784936839;-0,263054037852
79322;79200;LE TALLUD;Commune simple;161;1929;2;46,627315144;-0,291049695732
79256;79340;SAINT-GERMIER;Commune simple;167;1192;0,2;46,4595030375;-0,0455788333534
79241;79220;SAINT-CHRISTOPHE-SUR-ROC;Commune simple;106;1089;0,6;46,4536311451;-0,35987590684
79273;79230;SAINT-MARTIN-DE-BERNEGOUE;Commune simple;60;1769;0,8;46,2362508702;-0,357119218416
79066;79220;CHAMPDENIERS-SAINT-DENIS;Chef-lieu canton;113;2173;1,7;46,48017177;-0,38233277532
79109;79410;ECHIRE;Commune simple;54;3137;3,3;46,3946292281;-0,426727106349
79112;79270;EPANNES;Commune simple;25;804;0,8;46,2241677035;-0,588710493017
79128;79260;FRANCOIS;Commune simple;54;937;0,9;46,3822106449;-0,344073409629
79175;79190;MELLERAN;Commune simple;157;2000;0,5;46,1300825848;0,00534971717862
79279;79500;SAINT-MARTIN-LES-MELLE;Commune simple;122;919;0,9;46,2262502573;-0,16852854296
79333;79150;ULCOT;Commune simple;109;669;0,1;47,0217824026;-0,399150350473
79357;79220;XAINTRAY;Commune simple;99;1115;0,2;46,4958576969;-0,48044229191
79105;79340;COUTIERES;Commune simple;169;734;0,2;46,4989423539;-0,107332373635
79328;79360;THORIGNY-SUR-LE-MIGNON;Commune simple;33;534;0,1;46,150104348;-0,556777323972
79163;79190;MAIRE-LEVESCAULT;Commune simple;142;1758;0,6;46,1564138724;0,0765658334292
79260;79600;SAINT-JOUIN-DE-MARNES;Commune simple;78;2285;0,6;46,8814213211;-0,0550217260198
79284;79220;SAINTE-OUENNE;Commune simple;69;1144;0,8;46,4384557215;-0,45255458079
79196;79100;OIRON;Commune simple;81;3674;1;46,9369329202;-0,0842351282064
79261;79380;SAINT-JOUIN-DE-MILLY;Commune simple;166;688;0,2;46,761580843;-0,610782054204
79285;79310;SAINT-PARDOUX;Commune simple;197;3472;1,5;46,5770616007;-0,31674359278
79032;79160;BECELEUF;Commune simple;90;1907;0,7;46,4795118674;-0,509542625672
79087;79120;CHEY;Commune simple;137;2162;0,6;46,2935127706;-0,049821520326
79157;79100;LOUZY;Commune simple;57;1857;1,3;47,0176127367;-0,180557135196
79121;79340;FOMPERRON;Commune simple;176;1760;0,4;46,4695567913;-0,118091718958
79313;79120;SEPVRET;Commune simple;166;1708;0,6;46,2902433415;-0,0945812252792
79104;79220;COURS;Commune simple;124;1491;0,5;46,5023506712;-0,415189139601
79229;79270;LA ROCHENARD;Commune simple;45;855;0,5;46,2012204653;-0,574638181441
79136;79110;GOURNAY-LOIZE;Commune simple;148;2350;0,6;46,1501272552;-0,0484413702112
79154;79110;LOUBILLE;Commune simple;109;2151;0,4;46,0438559656;-0,064302714136
79204;79170;PERIGNE;Commune simple;68;2123;1;46,1857674388;-0,245561860776
79247;79360;SAINT-ETIENNE-LA-CIGOGNE;Commune simple;54;483;0,1;46,1147582638;-0,495376532777
79114;79400;EXIREUIL;Commune simple;160;2101;1,6;46,4537143363;-0,177315480712
79249;79410;SAINT-GELAIS;Commune simple;59;1656;1,7;46,3783464917;-0,388823361913
79198;79170;PAIZAY-LE-CHAPT;Commune simple;115;2034;0,3;46,0710589037;-0,184007366262
79056;79290;BRION-PRES-THOUET;Commune simple;52;846;0,8;47,0500287565;-0,188112073906
79205;79190;PERS;Commune simple;134;480;0,1;46,2272985258;0,0665477663208
79071;79200;LA CHAPELLE-BERTRAND;Commune simple;189;1945;0,5;46,6181522688;-0,191159883501
79135;79200;GOURGE;Commune simple;137;5039;0,9;46,7252168311;-0,184292127866
79351;79160;VILLIERS-EN-PLAINE;Commune simple;54;2809;1,6;46,4150506685;-0,536890888981
79341;79420;VAUTEBIS;Commune simple;189;727;0,1;46,5325405622;-0,153027126045
79166;79360;MARIGNY;Commune simple;58;3205;0,9;46,1947992339;-0,416618786711
79074;79190;LA CHAPELLE-POUILLOUX;Commune simple;157;792;0,2;46,1374212762;0,0481520171675
79035;79130;LE BEUGNON;Commune simple;185;1657;0,3;46,5842111668;-0,498009521622
79239;79450;SAINT-AUBIN-LE-CLOUD;Commune simple;187;4197;1,8;46,6572663301;-0,342791988653
79268;79600;SAINT-LOUP-LAMAIRE;Chef-lieu canton;123;2235;0,9;46,77039082;-0,157079150205
79189;79400;NANTEUIL;Commune simple;135;2051;1,7;46,4228145621;-0,154504788508
79342;79240;VERNOUX-EN-GATINE;Commune simple;199;3149;0,6;46,6226441897;-0,517127798933
79207;79700;LA PETITE-BOISSIERE;Commune simple;182;1321;0,6;46,8842322145;-0,735999564213
79011;79110;ARDILLEUX;Commune simple;107;1059;0,2;46,0930299539;-0,0437628037734
79054;79100;BRIE;Commune simple;61;1228;0,2;46,922690796;-0,0374783064468
79098;79800;LA COUARDE;Commune simple;169;1646;0,3;46,311279395;-0,143860718108
79242;79150;SAINT-CLEMENTIN;Commune simple;118;1400;0,5;46,960771587;-0,51496460613
79102;79330;COULONGES-THOUARSAIS;Commune simple;136;1713;0,4;46,9231412518;-0,332982472624
79187;79150;MOUTIERS-SOUS-ARGENTON;Commune simple;122;3706;0,6;46,9623637449;-0,377350469829
79219;79210;PRIAIRES;Commune simple;29;695;0,1;46,1501040293;-0,602163064799
79144;79230;JUSCORPS;Commune simple;53;653;0,4;46,2107424942;-0,377400693805
79225;79420;REFFANNES;Commune simple;200;863;0,4;46,5384833617;-0,186609763053
79089;79600;LE CHILLOU;Commune simple;129;515;0,2;46,7695842244;-0,12153287828
79346;79170;LE VERT;Commune simple;67;1181;0,1;46,1044348487;-0,398782793634
79210;79140;LE PIN;Commune simple;169;1899;1,1;46,8785875846;-0,651643489827
79064;79500;CHAIL;Commune simple;151;1264;0,5;46,2032625224;-0,0778790591165
79053;79150;LE BREUIL-SOUS-ARGENTON;Commune simple;125;1965;0,4;47,0031971648;-0,444523674874
79252;79600;SAINT-GENEROUX;Commune simple;91;2039;0,4;46,8857147211;-0,146137280401
79140;79110;HANC;Commune simple;133;1819;0,3;46,0832090401;-0,000696246203395
79276;79400;SAINT-MARTIN-DE-SAINT-MAIXENT;Commune simple;93;1282;1,1;46,3892461256;-0,203596354099
79120;79390;LA FERRIERE-EN-PARTHENAY;Commune simple;169;2935;0,8;46,6478583733;-0,0787535449945
79177;79120;MESSE;Commune simple;136;1225;0,2;46,2575229665;0,110039438392
79332;79240;TRAYES;Commune simple;200;713;0,1;46,6690393835;-0,48214510069
79107;79110;CREZIERES;Commune simple;125;424;0,1;46,0796072709;-0,13532231207
79259;79100;SAINT-JEAN-DE-THOUARS;Commune simple;95;496;1,4;46,9546725978;-0,218962911821
79113;79150;ETUSSON;Commune simple;133;2111;0,3;47,0084758541;-0,544206868322
79092;79420;CLAVE;Commune simple;183;1961;0,3;46,5034289857;-0,201213420477
79045;79110;BOUIN;Commune simple;123;831;0,1;46,0911898215;-0,013229553499
79139;79220;LES GROSEILLERS;Commune simple;138;452;0,1;46,5316195525;-0,406780672579
79095;79190;CLUSSAIS-LA-POMMERAIE;Commune simple;147;3125;0,6;46,1862514257;0,0320581904981
79025;79130;AZAY-SUR-THOUET;Commune simple;188;2039;1,1;46,6190923959;-0,356635119347
79016;79600;ASSAIS-LES-JUMEAUX;Commune simple;124;5322;0,8;46,7918233643;-0,0681160058394
79282;79370;SAINT-MEDARD;Commune simple;63;425;0,1;46,2112176621;-0,273782246591
79336;79120;VANCAIS;Commune simple;129;1703;0,3;46,3039075076;0,0433281606115
79294;79230;SAINT-ROMANS-DES-CHAMPS;Commune simple;65;412;0,2;46,2026203924;-0,348997865901
79314;79110;SOMPT;Commune simple;131;1211;0,3;46,1673238576;-0,0927668821819
79005;79600;AIRVAULT;Chef-lieu canton;114;4928;3,1;46,8329725103;-0,135880248296
79055;79170;BRIEUIL-SUR-CHIZE;Commune simple;51;804;0,1;46,1263946231;-0,326929907334
79203;79100;PAS-DE-JEU;Commune simple;59;1105;0,4;46,9791242431;-0,062634350018
79040;79310;LA BOISSIERE-EN-GATINE;Commune simple;177;1112;0,2;46,5484127409;-0,381035769407
79312;79170;SELIGNE;Commune simple;49;992;0,1;46,1398320782;-0,270834484675
79115;79800;EXOUDUN;Commune simple;129;2642;0,6;46,3385004673;-0,0727970199541
79012;79160;ARDIN;Commune simple;78;3009;1,2;46,4816783917;-0,55505132274
79162;79460;MAGNE;Commune simple;8;1475;2,9;46,3095905952;-0,558467673528
79311;79130;SECONDIGNY;Chef-lieu canton;206;3777;1,8;46,6116427776;-0,441850125966
79137;79360;GRANZAY-GRIPT;Commune simple;36;2161;0,9;46,2259924524;-0,480205972926
79033;79360;BELLEVILLE;Commune simple;55;1180;0,1;46,1312646734;-0,485169889086
79353;79370;VITRE;Commune simple;133;989;0,5;46,2831700723;-0,195737794668
79030;79370;BEAUSSAIS;Commune simple;158;1584;0,4;46,2826295796;-0,154592535008
79320;79220;SURIN;Commune simple;98;1353;0,6;46,4686584041;-0,46087902331
79183;79140;MONTRAVERS;Commune simple;165;1007;0,4;46,8367681009;-0,736426265237
79099;79150;LA COUDRE;Commune simple;125;847;0,2;46,9467673855;-0,47488323138
79202;79200;PARTHENAY;Sous-préfecture;159;1135;10,3;46,6453493842;-0,233028439198
79299;79330;SAINT-VARENT;Chef-lieu canton;101;3452;2,5;46,8927639643;-0,223311639048
79176;79340;MENIGOUTE;Chef-lieu canton;160;1929;0,9;46,4927432547;-0,0657078750275
79057;79170;BRIOUX-SUR-BOUTONNE;Chef-lieu canton;64;1555;1,5;46,1418337503;-0,218953610699
79184;79800;LA MOTHE-SAINT-HERAY;Chef-lieu canton;118;1519;1,8;46,3520802327;-0,119337575815
79131;79330;GEAY;Commune simple;159;1930;0,3;46,8691727621;-0,348538487123
79076;79430;LA CHAPELLE-SAINT-LAURENT;Commune simple;192;2879;1,8;46,7322726991;-0,466366098553
79101;79160;COULONGES-SUR-L'AUTIZE;Chef-lieu canton;78;1878;2,4;46,4828315658;-0,599450293173
79090;79170;CHIZE;Commune simple;68;2320;0,9;46,1111767305;-0,356732574606
79141;79600;IRAIS;Commune simple;103;1355;0,2;46,8755153904;-0,0957786406163
79340;79420;VAUSSEROUX;Commune simple;189;1919;0,4;46,5553603723;-0,138086745707
79354;79310;VOUHE;Commune simple;196;1416;0,4;46,5598449488;-0,25593190505
79235;79700;SAINT-AMAND-SUR-SEVRE;Commune simple;169;3264;1,3;46,8794926355;-0,782455017663
79001;79240;L'ABSIE;Commune simple;201;1319;1;46,6475867778;-0,559273846456
79164;79500;MAISONNAY;Commune simple;161;519;0,3;46,1853348729;-0,0509301728856
79327;79370;THORIGNE;Commune simple;107;1844;1,2;46,2838461214;-0,252472597117
79145;79200;LAGEON;Commune simple;147;1403;0,4;46,7303622992;-0,249500520917
79047;79600;BOUSSAIS;Commune simple;139;2005;0,4;46,8185496547;-0,263669046618
79329;79100;THOUARS;Chef-lieu canton;85;1201;9,8;46,9828628407;-0,199581467021
79301;79500;SAINT-VINCENT-LA-CHATRE;Commune simple;164;2123;0,6;46,2128347937;-0,0364291684702
79081;79180;CHAURAY;Commune simple;68;1456;5,3;46,3517313978;-0,380481716309
79195;79250;NUEIL-LES-AUBIERS;Commune simple;145;10091;5,5;46,9403172404;-0,596385417876
79010;79210;ARCAIS;Commune simple;6;1509;0,6;46,3012932064;-0,695370994677
79007;79130;ALLONNE;Commune simple;197;2321;0,6;46,5804441397;-0,38171869398
79309;79240;SCILLE;Commune simple;186;1168;0,4;46,5996427928;-0,556961185783
